Code;Technique;Study;DOI
EPM1;EPM;1;10.1007/s11011-015-9682-0
EPM11;EPM;2;10.1007/s00213-003-1558-z
EPM13;EPM;3;10.1007/s11064-013-1049-5
EPM15;EPM;4;10.1016/j.bbr.2016.01.026
EPM18;EPM;5;10.1016/j.neuro.2008.11.008
EPM19;EPM;6;10.1016/j.pbb.2011.08.029
EPM2;EPM;7;10.1016/j.lfs.2004.10.040
EPM21;EPM;8;10.1016/j.neulet.2017.07.008
EPM25;EPM;9;10.1007/s00213-010-1985-6
EPM27;EPM;10;10.1007/s00726-016-2365-2
EPM28;EPM;11;10.1016/j.pbb.2004.09.001
EPM29;EPM;12;10.1007/s12011-014-9960-4
EPM31;EPM;13;10.1016/S0091-3057(01)00560-3
EPM37;EPM;14;10.1016/j.brainresbull.2006.10.004
EPM39;EPM;15;10.1007/s12035-016-9987-y
EPM43;EPM;16;10.1016/j.pbb.2007.08.008
EPM45;EPM;17;10.1007/s00213-003-1545-4
EPM46;EPM;18;10.1016/j.bbr.2007.10.023
EPM5;EPM;19;10.1016/j.brainres.2007.07.007
EPM9;EPM;20;10.1016/j.pbb.2010.05.019
PCR11;PCR;1;10.1530/JME-17-0041
PCR114;PCR;2;10.3109/10715762.2013.814126
PCR125;PCR;3;10.1111/bcpt.12183
PCR126;PCR;4;10.1038/srep25802
PCR139;PCR;5;10.1007/s11010-014-2054-y
PCR147;PCR;6;10.1002/cyto.a.22220
PCR158;PCR;7;10.1016/j.ejps.2009.04.006
PCR16;PCR;8;10.1016/j.bbrc.2015.01.045
PCR166;PCR;9;10.1007/s12013-013-9719-0
PCR175;PCR;10;10.1097/CAD.0000000000000342
PCR184;PCR;11;10.1016/j.jnutbio.2004.04.008
PCR23;PCR;12;10.1007/s11626-016-0103-4
PCR29;PCR;13;10.1007/s12253-009-9223-4
PCR35;PCR;14;10.1007/s10565-007-9004-3
PCR40;PCR;15;10.1590/S1984-82502015000200006
PCR42;PCR;16;10.1007/s11010-008-9877-3
PCR61;PCR;17;10.1002/jcb.25181
PCR69;PCR;18;10.1016/j.tiv.2015.05.010
PCR75;PCR;19;10.1089/scd.2013.0592
PCR79;PCR;20;10.3892/ijmm.2011.691
MTT13;MTT;1;10.3109/15376516.2014.920447
MTT18;MTT;2;10.1007/s00232-013-9607-y
MTT26;MTT;3;10.3109/15376516.2016.1159770
MTT28;MTT;4;10.1002/pros.22960
MTT30;MTT;5;10.1016/j.bioorg.2017.04.011
MTT33;MTT;6;10.1016/j.phymed.2016.11.008
MTT37;MTT;7;10.1016/j.tiv.2015.11.004
MTT4;MTT;8;10.1155/2017/4151594
MTT42;MTT;9;10.1111/jphp.12002
MTT45;MTT;10;10.1007/s12035-016-0135-5
MTT52;MTT;11;10.1002/jcb.26034
MTT56;MTT;12;10.1007/s11010-014-1974-x
MTT60;MTT;13;10.1016/j.bbadis.2012.11.010
MTT67;MTT;14;10.1159/000107514
MTT71;MTT;15;10.1016/j.bbagen.2016.10.018
MTT81;MTT;16;10.3390/molecules17066305
MTT83;MTT;17;10.1016/j.biochi.2013.02.013
MTT86;MTT;18;10.1007/s11302-017-9559-2
MTT87;MTT;19;10.1016/j.bbi.2010.12.012
MTT96;MTT;20;10.1590/S0100-879X2004000200007
